phase_1_address,score,e911_address
114 S BINGHAM ST,1.0,114 S BINGHAM ST
1896 OLD JERUSALEM RD,1.0,1896 OLD JERUSALEM RD
14 CHURCH ST,1.0,14 CHURCH ST
24 PARK LN,1.0,24 PARK Ln
156 MIDDLE RD,1.0,156 MIDDLE RD
82 OLIVER HOWE CT,1.0,82 OLIVER HOWE CT
112 SCHOOL RD,1.0,112 SCHOOL RD
289 CROSS RD,1.0,289 CROSS RD
466 N ORWELL RD,1.0,466 N ORWELL RD
79 LEMON FAIR RD,1.0,79 LEMON FAIR RD
917 RIDGE RD,1.0,917 RIDGE RD
2151 RICHVILLE RD,1.0,2151 RICHVILLE RD
82 BARNES RD,1.0,82 BARNES RD
40 HIBBARD HILL RD,1.0,40 HIBBARD HILL RD
362 SHARD VILLA RD,1.0,362 SHARD VILLA RD
244 BARNUM HILL RD,1.0,244 BARNUM HILL RD
351 CROSS RD,1.0,351 CROSS RD
3536 W SALISBURY RD,1.0,3536 W SALISBURY RD
1262 SMITH ST,1.0,1262 SMITH ST
592 KELLEY CROSS RD,1.0,592 KELLEY CROSS RD
1307 DELONG RD,1.0,1307 DELONG RD
792 RICHVILLE RD,1.0,792 RICHVILLE RD
425 BARNUM HILL RD,1.0,425 BARNUM HILL RD
555 BARNUM HILL RD,1.0,555 BARNUM HILL RD
458 QUIET VALLEY RD,1.0,458 QUIET VALLEY RD
182 LEDGE LN,1.0,182 LEDGE Ln
8 CHURCH ST,1.0,8 CHURCH ST
1351 DEWEY RD,1.0,1351 DEWEY RD
245 ROYCE HILL RD,1.0,245 ROYCE HILL RD
1059 SHOREHAM DEPOT RD,1.0,1059 SHOREHAM DEPOT RD
417 KELLEY CROSS RD,1.0,417 KELLEY CROSS RD
456 MIDDLE RD,1.0,456 MIDDLE RD
1426 W SALISBURY RD,1.0,1426 W SALISBURY RD
361 KELLEY CROSS RD,1.0,361 KELLEY CROSS RD
625 LELAND RD,1.0,625 LELAND RD
36 N ORWELL RD,1.0,36 N ORWELL RD
99 INN RD,1.0,99 INN RD
179 MURRAY RD,1.0,179 MURRAY RD
1434 SMITH ST,1.0,1434 SMITH ST
1970 RICHVILLE RD,1.0,1970 RICHVILLE RD
338 PARKHILL RD,1.0,338 PARKHILL RD
736 LAKE ST,1.0,736 LAKE ST
300 DOOLITTLE RD,1.0,300 DOOLITTLE RD
2853 SMITH ST,1.0,2853 SMITH ST
2 DOUGLAS RD,1.0,2 DOUGLAS RD
360 DOUGLAS RD,1.0,360 DOUGLAS RD
