address,score,e911_address
160 green st,1.0,160 GREEN St
26 thomas cir,0.3333333333333333,26 THOMAS CIRCLE
22 sunset dr,1.0,22 SUNSET Dr
99 griswold ln,0.3333333333333333,99 BURKE Ln
411 mountainview dr,1.0,411 MOUNTAINVIEW DR
204 walker rd,1.0,204 WALKER RD
4215 sand rd,1.0,4215 SAND RD
5592 us route 7,0.6666666666666666,5592 ROUTE 7
178 horton rd,0.3333333333333333,178 NOTCH RD
1758 us route 7,0.0,1758 HARDSCRABBLE RD
850 shackett rd,1.0,850 SHACKETT RD
88 s water st,1.0,88 S WATER St
641 rainey ln,0.0,641 ROCKYDALE RD
36 wing rd,1.0,36 WING RD
1823 lake dunmore rd,1.0,1823 LAKE DUNMORE RD
480 kelsey ln,1.0,480 KELSEY LN
1906 us route 7,1.0,1906 US ROUTE 7
12 sunset dr,1.0,12 SUNSET Dr
258 tuppers xing,0.3333333333333333,258 TUPPERS CROSSING
717 dakin rd,1.0,717 DAKIN RD
8 short st,0.3333333333333333,8 E St
41 church st,1.0,41 CHURCH St
72 stone meadow ln,1.0,72 STONE MEADOW Ln
45 w main st,1.0,45 W MAIN St
23 union st,1.0,23 UNION St
7 bullock rd,1.0,7 BULLOCK RD
13 white st,1.0,13 WHITE St
1464 hooker rd,1.0,1464 HOOKER RD
42 s maple st,0.6666666666666666,42 S St
123 n main st,1.0,123 N MAIN St
2825 lake dunmore rd,1.0,2825 LAKE DUNMORE RD
66 s maple st,1.0,66 S MAPLE St
1511 lake dunmore rd,1.0,1511 LAKE DUNMORE RD
238 mount independence rd,0.25,238 ATHEROUTEON RD
192 fiddlehead rd,1.0,192 FIDDLEHEAD RD
720 west shore rd,0.5,720 W SHORE RD
40 keewaydin way,0.3333333333333333,40 OUTLOOK WAY
156 dogwood dr,1.0,156 DOGWOOD DR
48 macdonough dr,1.0,48 MACDONOUGH Dr
179 s maple st,1.0,179 S MAPLE St
3 s main st,1.0,3 S MAIN St
9 moosalamoo club rd,0.25,9 PIPER RD
100 macdonough dr,1.0,100 MACDONOUGH Dr
7 third st,0.3333333333333333,7 SCHOOL St
4712 us route 7,0.6666666666666666,4712 ROUTE 7
1065 satterly rd,1.0,1065 SATTERLY RD
101 sawyer needham rd,0.25,101 PANTON RD
931 greenbush rd,1.0,931 GREENBUSH RD
801 middlebrook rd,1.0,801 MIDDLEBROOK RD
293 dakin rd,0.3333333333333333,293 STICKNEY RD
79 old orchard way,1.0,79 OLD ORCHARD WAY
95 marsh hill rd,1.0,95 MARSH HILL RD
402 smead rd,1.0,402 SMEAD RD
33 chickadee ave,0.0,33 W St
83 s maple st,0.25,83 GREEN St
390 indian trl,0.0,390 OWL'S HEAD HARBOR RD
100 macdonough dr,1.0,100 MACDONOUGH Dr
100 macdonough dr,1.0,100 MACDONOUGH Dr
128 horton rd,0.3333333333333333,128 HOROUTEON RD
302 indian trl,0.0,302 MOUNTAIN RD EXTENSION
654 sleepy hollow ln,1.0,654 SLEEPY HOLLOW Ln
22 swallow dr,0.3333333333333333,22 SUNSET Dr
1583 lake dunmore rd,1.0,1583 LAKE DUNMORE RD
10 north shore ln,0.25,10 MEADOW Ln
213 young rd,1.0,213 YOUNG RD
173 ember trl,1.0,173 EMBER TRL
2372 leicester whiting rd,0.0,2372 VT ROUTE 125
76 macdonough dr,1.0,76 MACDONOUGH Dr
3 moosalamoo club rd,0.25,3 HOPKINS RD
2970 lime kiln rd,0.5,2970 LIME KILM RD
195 rock lndg,0.3333333333333333,195 ROCK LANDING
390 shackett rd,1.0,390 SHACKETT RD
3668 lake dunmore rd,1.0,3668 LAKE DUNMORE RD
9 n green st,1.0,9 N GREEN St
101 mount independence rd,1.0,101 MOUNT INDEPENDENCE RD
146 delorm rd,1.0,146 DELORM RD
688 little chicago rd,1.0,688 LITTLE CHICAGO RD
101 main st,0.3333333333333333,101 N St
52 east st,0.3333333333333333,52 MAIN St
1696 maple st,0.6666666666666666,1696 MAPLE St EXT
27 colorado cir,1.0,27 COLORADO CIR
3200 sand rd,1.0,3200 SAND RD
266 indian trl,1.0,266 INDIAN TRL
12 n main st,1.0,12 N MAIN St
266 ridge view dr,1.0,266 RIDGE VIEW DR
25 bowman rd,1.0,25 BOWMAN RD
640 round barn rd,1.0,640 ROUND BARN RD
7531 ethan allen hwy,0.5,7531 ETHAN ALLEN HIGHWAY
110 green st,1.0,110 GREEN St
47 s water st,1.0,47 S WATER St
896 maple st,1.0,896 MAPLE ST
526 pea ridge rd,1.0,526 PEA RIDGE RD
283 round barn rd,1.0,283 ROUND BARN RD
261 hideaway trl,1.0,261 HIDEAWAY TRL
4897 sand rd,1.0,4897 SAND RD
62 school st,0.3333333333333333,62 PINE St
79 catamount dr,0.3333333333333333,79 THOMAS Dr
3838 sand rd,1.0,3838 SAND RD
444 west shore rd,0.25,444 LEICESTER-WHITING RD
