phase_1_address,score,e911_address
114 s bingham st,1.0,114 S BINGHAM ST
1896 old jerusalem rd,1.0,1896 OLD JERUSALEM RD
14 church st,1.0,14 CHURCH ST
24 park ln,1.0,24 PARK Ln
156 middle rd,1.0,156 MIDDLE RD
82 oliver howe ct,1.0,82 OLIVER HOWE CT
112 school rd,1.0,112 SCHOOL RD
289 cross rd,1.0,289 CROSS RD
466 n orwell rd,1.0,466 N ORWELL RD
79 lemon fair rd,1.0,79 LEMON FAIR RD
917 ridge rd,1.0,917 RIDGE RD
2151 richville rd,1.0,2151 RICHVILLE RD
82 barnes rd,1.0,82 BARNES RD
40 hibbard hill rd,1.0,40 HIBBARD HILL RD
362 shard villa rd,1.0,362 SHARD VILLA RD
244 barnum hill rd,1.0,244 BARNUM HILL RD
351 cross rd,1.0,351 CROSS RD
3536 w salisbury rd,1.0,3536 W SALISBURY RD
1262 smith st,1.0,1262 SMITH ST
592 kelley cross rd,1.0,592 KELLEY CROSS RD
1307 delong rd,1.0,1307 DELONG RD
792 richville rd,1.0,792 RICHVILLE RD
425 barnum hill rd,1.0,425 BARNUM HILL RD
555 barnum hill rd,1.0,555 BARNUM HILL RD
458 quiet valley rd,1.0,458 QUIET VALLEY RD
182 ledge ln,1.0,182 LEDGE Ln
8 church st,1.0,8 CHURCH ST
1351 dewey rd,1.0,1351 DEWEY RD
245 royce hill rd,1.0,245 ROYCE HILL RD
1059 shoreham depot rd,1.0,1059 SHOREHAM DEPOT RD
417 kelley cross rd,1.0,417 KELLEY CROSS RD
456 middle rd,1.0,456 MIDDLE RD
1426 w salisbury rd,1.0,1426 W SALISBURY RD
361 kelley cross rd,1.0,361 KELLEY CROSS RD
625 leland rd,1.0,625 LELAND RD
36 n orwell rd,1.0,36 N ORWELL RD
99 inn rd,1.0,99 INN RD
179 murray rd,1.0,179 MURRAY RD
1434 smith st,1.0,1434 SMITH ST
1970 richville rd,1.0,1970 RICHVILLE RD
338 parkhill rd,1.0,338 PARKHILL RD
736 lake st,1.0,736 LAKE ST
300 doolittle rd,1.0,300 DOOLITTLE RD
2853 smith st,1.0,2853 SMITH ST
2 douglas rd,1.0,2 DOUGLAS RD
360 douglas rd,1.0,360 DOUGLAS RD
567 orchard run,1.0,567 ORCHARD RUN
81 sunset orchard rd,1.0,81 SUNSET ORCHARD RD
805 smith st,1.0,805 SMITH ST
257 bates rd,1.0,257 BATES RD
507 shacksboro rd,1.0,507 SHACKSBORO RD
2201 old jerusalem rd,1.0,2201 OLD JERUSALEM RD
