ADDRESS,Zip Code,phase
1896 OLD JERUSALEM RD,05769,I
14 CHURCH ST,05760,I
24 PARK LN,05753,I
82 OLIVER HOWE CT,05770,I
112 SCHOOL RD,05753,I
289 CROSS RD,05753,I
79 LEMON FAIR RD,05753,I
917 RIDGE RD,05753,I
351 CROSS RD,05753,I
1262 SMITH ST,05770,I
592 KELLEY CROSS RD,05769,I
8 CHURCH ST,05760,I
1059 SHOREHAM DEPOT RD,05760,I
417 KELLEY CROSS RD,05769,I
456 MIDDLE RD,05769,I
1426 W SALISBURY RD,05769,I
361 KELLEY CROSS RD,05769,I
625 LELAND RD,05769,I
36 N ORWELL RD,05760,I
99 INN RD,05770,I
1434 SMITH ST,05770,I
2 DOUGLAS RD,05753,I
360 DOUGLAS RD,05753,I
81 SUNSET ORCHARD RD,05753,I
805 SMITH ST,05770,I
507 SHACKSBORO RD,05770,I
2201 OLD JERUSALEM RD,05769,I
146 SHARD VILLA RD,05769,I
18 N BINGHAM ST,05753,I
40 RIDGE RD,05753,I
1501 W SALISBURY RD,05769,I
23 N ORWELL RD,05760,I
156 S BINGHAM ST,05753,I
288 SCHOOL ST,05770,I
1594 OLD JERUSALEM RD,05769,I
1031 CLARK RD,05753,I
626 SWAMP RD,05753,I
1471 N ORWELL RD,05770,I
20 STICKNEY RD,05778,I
1520 SPERRY RD,05753,I
103 CHURCH ST,05760,I
2577 RICHVILLE RD,05778,I
1256 W SALISBURY RD,05769,I
2707 LAKE ST,05770,I
2108 OLD JERUSALEM RD,05769,I
616 DELONG LN,05770,I
1505 BROWN RD,05770,I
1443 N ORWELL RD,05770,I
2432 BARNUM HILL RD,05770,I
694 DOOLITTLE RD,05770,I
127 SMITH ST,05770,I
382 ROBBINS RD,05753,I
157 APPLE TREE LN,05753,I
455 FISHER RD,05753,I
51 S BINGHAM ST,05753,I
1671 RIDGE RD,05753,I
1777 RIDGE RD,05753,I
1645 CIDER MILL RD,05753,I
394 CIDER MILL RD,05753,I
75 S BINGHAM ST,05753,I
29 JAMES RD,05753,I
98 SHARD VILLA RD,05769,I
1549 N ORWELL RD,05770,I
2784 RICHVILLE RD,05778,I
35 RICHVILLE RD,05770,I
107 DAME RD,05778,I
36 S BINGHAM ST,05753,I
440 DELONG LN,05770,I
602 MAIN ST,05760,I
519 ROBBINS RD,05753,I
145 LAKE ST,05770,I
260 SHACKSBORO RD,05770,I
172 BEAVER BROOK RD,05753,I
2137 N BINGHAM ST,05753,I
364 DELONG LN,05770,I
65 CHURCH ST,05760,I
28 N ORWELL RD,05760,I
7 N ORWELL RD,05760,I
215 SCHOOL ST,05770,I
653 WOOSTER RD,05778,I
69 SPERRY RD,05753,I
600 MAIN ST,05760,I
224 DOUGLAS RD,05753,I
37 SHACKSBORO RD,05770,I
170 NEEDHAM HILL RD,05760,I
1870 SHACKSBORO RD,05770,I
833 N BINGHAM ST,05753,I
1342 SMITH ST,05770,I
73 CHURCH ST,05760,I
265 DOUGLAS RD,05753,I
1921 N BINGHAM ST,05753,I
131 CHURCH ST,05760,I
212 PHILION RD,05770,I
462 SHOREHAM DEPOT RD,05778,I
812 WOOSTER RD,05778,I
628 DELONG LN,05770,I
86 CHURCH ST,05760,I
505 MAIN ST,05760,I
85 CHURCH ST,05760,I
142 PHILION RD,05770,I
123 DELONG RD,05753,I
851 CLARK RD,05753,I
332 MAIN ST,05770,I
498 W SALISBURY RD,05769,I
48 CREEK RD,05769,I
13 N ORWELL RD,05760,I
2375 S BINGHAM ST,05778,I
81 CHURCH ST,05760,I
479 TOTTINGHAM RD,05770,I
177 N ORWELL RD,05760,I
2767 LAKE ST,05770,I
1469 S BINGHAM ST,05753,I
63 N BINGHAM ST,05753,I
47 N ORWELL RD,05760,I
1443 RIDGE RD,05753,I
350 DEWEY RD,05769,I
163 STICKNEY RD,05778,I
214 DEWEY RD,05769,I
245 MAIN ST,05770,I
616 N MAIN ST,05778,I
4236 RICHVILLE RD,05778,I
279 MAIN ST,05770,I
55 SHOREHAM DEPOT RD,05778,I
29 N ORWELL RD,05760,I
1017 RIDGE RD,05753,I
1509 N ORWELL RD,05770,I
20 ROBBINS RD,05753,I
560 MAIN ST,05760,I
900 CIDER MILL RD,05753,I
770 CIDER MILL RD,05753,I
323 SHACKSBORO RD,05770,I
2011 N BINGHAM ST,05753,I
1332 CIDER MILL RD,05753,I
655 CIDER MILL RD,05753,I
440 DEWEY RD,05769,I
27 ANDRUS PITCH,05753,I
130 BEAVER BROOK RD,05753,I
703 CIDER MILL RD,05753,I
297 LAPHAM BAY RD,05770,I
896 RIDGE RD,05753,I
99 SUNSET ORCHARD RD,05753,I
1712 SPERRY RD,05753,I
380 ROBBINS RD,05753,I
457 CIDER MILL RD,05753,I
1019 CIDER MILL RD,05753,I
341 DEWEY RD,05769,I
1841 N BINGHAM ST,05753,I
881 RIDGE RD,05753,I
961 RIDGE RD,05753,I
156 N ORWELL RD,05760,I
23 CHURCH ST,05760,I
46 CHURCH ST,05760,I
48 CHURCH ST,05760,I
282 LELAND RD,05769,I
1788 HALLADAY RD,05753,I
213 MAIN ST,05770,I
422 DELONG LN,05770,I
2815 OLD JERUSALEM RD,05769,I
385 MAIN ST,05760,I
376 W SALISBURY RD,05769,I
384 PEET RD,05753,I
73 HORNBEAM HILL RD,05753,I
473 MAIN ST,05760,I
162 N ORWELL RD,05760,I
1121 GALVIN RD,05753,I
185 AUDET RD,05753,I
464 MAIN ST,05760,I
441 MAIN ST,05760,I
461 MAIN ST,05760,I
138 DELONG LN,05770,I
727 FISHER RD,05753,I
909 SMITH ST,05770,I
2335 OLD JERUSALEM RD,05769,I
308 MAIN ST,05770,I
406 S BINGHAM ST,05753,I
83 INN RD,05770,I
190 LEWIS RD,05770,I
564 CIDER MILL RD,05753,I
175 STICKNEY RD,05778,I
1454 RIDGE RD,05753,I
21 OLIVER HOWE CT,05770,I
657 N BINGHAM ST,05753,I
139 NEEDHAM HILL RD,05760,I
195 NEEDHAM HILL RD,05760,I
2719 LAKE ST,05770,I
1468 SMITH ST,05770,I
430 W SALISBURY RD,05769,I
375 DOUGLAS RD,05753,I
258 BUTTOLPH RD,05770,I
1710 SPERRY RD,05753,I
979 GALVIN RD,05753,I
64 GIBEAULT RD,05778,I
699 WITHERELL RD,05770,I
38 SCHOOL RD,05753,I
2155 S BINGHAM ST,05778,I
137 WOOSTER RD,05778,I
312 PEET RD,05753,I
1107 N BINGHAM ST,05753,I
1703 RIDGE RD,05753,I
1620 RIDGE RD,05753,I
1374 RIDGE RD,05753,I
364 BUTTOLPH RD,05770,I
195 LELAND RD,05769,I
44 SHARD VILLA RD,05753,I
351 GOODRICH RD,05778,I
1236 N BINGHAM ST,05753,I
39 LEMON FAIR RD,05753,I
1590 SPERRY RD,05753,I
3153 WATCH POINT RD,05770,I
2504 N BINGHAM ST,05753,I
53 OLIVER HOWE CT,05770,I
292 DELONG RD,05753,I
1078 DOOLITTLE RD,05770,I
878 DOOLITTLE RD,05770,I
1209 CIDER MILL RD,05753,I
315 ANGEL RD,05778,I
1102 SMITH ST,05770,I
381 W SALISBURY RD,05769,I
930 SHACKSBORO RD,05770,I
532 SHACKSBORO RD,05770,I
2255 BARNUM HILL RD,05770,I
225 AUDET RD,05753,I
387 S BINGHAM ST,05753,I
35 EDGEWOOD LN,05753,I
125 N BINGHAM ST,05753,I
262 DELONG LN,05770,I
332 LAPHAM BAY RD,05770,I
1011 GALVIN RD,05753,I
1571 SPERRY RD,05753,I
1287 N BINGHAM ST,05753,I
1335 N BINGHAM ST,05753,I
889 N ORWELL RD,05770,I
323 N BINGHAM ST,05753,I
321 N BINGHAM ST,05753,I
351 S BINGHAM ST,05753,I
1552 HALLADAY RD,05753,I
669 BUTTOLPH RD,05770,I
901 N BINGHAM ST,05753,I
358 SWAMP RD,05753,I
148 NEEDHAM HILL RD,05760,I
20 CHURCH ST,05760,I
273 LELAND RD,05769,I
1301 CIDER MILL RD,05753,I
1148 CIDER MILL RD,05753,I
